240;-159660.62;-188763.08;29102.458;300.00086;-7879.3746;512000;-111040.06;105.71608;-4.7512624e-05;-2.4345492e-07;-6.7366325e-07;-3.9549729e-07;-4.8011717e-05;6.4943698e-07;2.4345569e-07;8.4384466e-07;-4.8713835e-05
250;-160012.32;-189125.32;29112.999;300.10952;-7872.8065;512000;-111040.06;104.4538;-4.7698488e-05;-7.2620337e-08;-2.8201772e-07;-3.2312273e-07;-4.7964318e-05;8.0916469e-07;2.9145879e-07;1.0492244e-06;-4.8455136e-05
260;-160462.11;-189466.13;29004.018;298.98609;-7835.7331;512000;-111040.06;103.32028;-4.7143512e-05;-1.0959433e-07;-4.6479112e-10;2.256829e-07;-4.7992891e-05;9.4497938e-07;-3.5873126e-07;7.1169312e-07;-4.830288e-05
270;-160674.84;-189787.68;29112.837;300.10784;-7814.6535;512000;-111040.06;102.37456;-4.6932128e-05;-8.597848e-07;-2.8173381e-07;-3.691139e-07;-4.8167125e-05;4.6287082e-07;5.425136e-09;7.2299965e-07;-4.7954153e-05
280;-160922.7;-190015.28;29092.577;299.899;-7793.6649;512000;-111040.06;101.50186;-4.7308693e-05;-4.7190813e-07;4.4155577e-07;-4.551297e-07;-4.7670743e-05;8.1195365e-07;3.6230559e-07;6.6480773e-07;-4.7689755e-05
290;-161709.94;-190620.3;28910.363;298.02066;-7763.2627;512000;-111040.06;101.34465;-4.7077338e-05;-4.5701787e-07;-3.9088308e-07;-6.1316149e-07;-4.703546e-05;5.3600644e-07;2.4867653e-07;7.1151631e-07;-4.7999858e-05
300;-161760.69;-190903.81;29143.121;300.42002;-7700.782;512000;-111040.06;100.39981;-4.680526e-05;-5.418194e-07;-3.5141139e-07;3.3233371e-08;-4.667822e-05;8.7611849e-07;9.5255801e-08;7.4459567e-07;-4.7485417e-05
310;-162148.89;-191139.61;28990.717;298.84898;-7634.9391;512000;-111040.06;99.556729;-4.6265115e-05;-1.1211817e-07;-5.4001136e-07;-4.8679182e-07;-4.6264755e-05;6.6376767e-07;-1.1716013e-07;3.770957e-07;-4.7233722e-05
320;-162572.57;-191609.49;29036.917;299.32524;-7627.0761;512000;-111040.06;98.209515;-4.5874586e-05;-4.1459354e-07;-1.855302e-07;-5.4920369e-07;-4.6365642e-05;1.100307e-06;-2.6704071e-08;5.564839e-07;-4.7379424e-05
330;-162586.31;-191747.74;29161.43;300.60876;-7547.2917;512000;-111040.06;97.593238;-4.5440695e-05;-3.3771734e-07;-8.1600098e-08;-5.5868947e-07;-4.5700827e-05;4.6151614e-07;-1.1204527e-07;5.0337979e-07;-4.7017615e-05
340;-162804.9;-191990.43;29185.527;300.85717;-7561.5082;512000;-111040.06;96.890981;-4.5638016e-05;-4.4417368e-07;-5.1269846e-07;-1.8610984e-07;-4.572235e-05;-1.2780198e-07;3.2860196e-07;-8.3603806e-10;-4.7059014e-05
350;-163754.35;-192625.55;28871.194;297.61688;-7540.3233;512000;-111040.06;96.286565;-4.5094403e-05;-6.6376116e-07;1.3005289e-07;-1.1695362e-07;-4.6229667e-05;-1.7684814e-07;4.912289e-07;3.5673667e-07;-4.6707503e-05
360;-163629.02;-192744.17;29115.152;300.13171;-7482.6883;512000;-111040.06;95.519192;-4.4948068e-05;-6.4358276e-07;-3.2101211e-07;-4.080241e-07;-4.5479035e-05;2.4313076e-07;6.3471458e-07;7.0792936e-08;-4.6549417e-05
